"'序号","'评论人","'UID","'抖音号","'性别↓","'获赞数↓","'子评数↓","'年龄↓","'评论时间↓","'评论详情","'cid","'sec_uid"
"'1","'sss","'1503739227149348","'dyihsjskkmc0","'男","'1","'0","'11","'2020-03-22 12:10:46","'这这这肚子疼[酷拽]","'6806879961224904716","'MS4wLjABAAAAB011-rsPeMXfdnZ3TKCRUEOKfgNgmWD8LunsCsU51y_-G-BIPr9a2jpMFOCrtWBp"
"'2","'小呆日记","'61445505942","'577723749","'女","'212","'4","'2020","'2020-03-17 01:50:27","'二哈喜欢跳跳糖加红牛加尖叫叫脉动，法力无边，活力四射","'6805050234943701005","'MS4wLjABAAAAyH3ITSDJMbpXmc4B3HoGsYkuCgw0T7LgbPAmuALZnJY"
"'3","'MMMMM.","'99271014486","'1630794069","'女","'154","'13","'2020","'2020-03-16 10:54:31","'说了可能你不信 我家二哈喜欢芥末[微笑][微笑]","'6804819352157241359","'MS4wLjABAAAAkoHIFhRS96BZZIINpQ6HYYteNoruQ47a4tzmsiuz_1U"
"'4","'丸子、初七","'3720347870830879","'dya5rf9yq6ek","'女","'0","'0","'18","'2020-03-22 11:12:19","'为啥我家的直接吞了","'6806864907892539407","'MS4wLjABAAAADC7qxmvC_XrzhCiwHVnM1kdPHCI-gROebbJjuLFSLJ6yTkbRCCq8loiOoAokyido"
"'5","'小秀","'3720359519466439","'dyf8nfmqoxp5","'女","'0","'0","'20","'2020-03-22 09:09:30","'二哈打滚[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸]","'6806833247906250756","'MS4wLjABAAAA4r9hYnLQpcrDqui3q_0sWbl-zTK7ZVNUV67R-qht7eW0t0Vk6fhum3Mp9i19Aw59"
"'6","'我是朵朵呀","'2335000043196733","'dyv8ainafuy2","'女","'0","'0","'2020","'2020-03-22 09:09:12","'他既然吃一包都这么疯狂，往他嘴里塞50包跳跳糖看看","'6806833177685524480","'MS4wLjABAAAAioKgxES_AoGSogBH77myIyyGcfdB9VlS-YbWxtfKP-5Fwtu8ff4iPUhCDd86SAWx"
"'7","'小狮子???","'94464690946","'2092107454","'女","'2","'0","'10","'2020-03-22 09:02:46","'文字已经表达不了我的开心，我只能用动作展示自己，飞起~","'6806831517135454208","'MS4wLjABAAAAxV7ddcXec9SSAvQ5t7CO-o3UK21PIjGHKSalouFfohI"
"'8","'柚子买到了","'78774540446764","'dylgs354128z","'-","'0","'0","'2020","'2020-03-22 08:49:33","'哈哈@柚子没买 这个就是你","'6806828118327263245","'MS4wLjABAAAAwIFB1R6otkHxNf1y6VSZpzm_1t_IcZtc5IEgCGWJT7g"
"'9","'飞翔","'97817443283","'1208328592","'男","'0","'0","'2020","'2020-03-22 08:40:54","'[打脸]","'6806825877084127235","'MS4wLjABAAAAB-ok5wCBB-GwSQA3seoHTJUsBwylUShT_GavnucJjUo"
"'10","'江梦娜","'2211866853247438","'dyj23tht68ns","'女","'2","'0","'13","'2020-03-22 08:40:02","'这二哈逗比都不能再逗比了","'6806825665896415240","'MS4wLjABAAAAI-oUVeqkWNSL-jYYyrQnOLVPvhQ-vZcWWFNr8yEKpnAVy-1jrdQxqr6PTrg6o48U"
