"'序号","'评论人","'UID","'抖音号","'性别↓","'获赞数↓","'子评数↓","'年龄↓","'评论时间↓","'评论详情","'cid","'sec_uid"
"'1","'憨憨:-D","'52728919606","'53338377","'男","'61","'3","'15","'2020-03-16 05:39:16","'我缺这些软件吗，我缺的是内存","'6804738105804259332","'MS4wLjABAAAAnKnMVD-flCrZV_QMlHZnq8O0PdmiL00iahkwZXrOLK8"
"'2","'殇殚  玉玺","'2757164692415838","'lsd3288552772","'男","'24","'0","'18","'2020-03-16 08:11:03","'首先我要换一个好的手机才行啊[捂脸][捂脸][捂脸]","'6804777227608358924","'MS4wLjABAAAAlTpbfuTMvoeHbCj3XBbOMOilIwuNEPon-Z_UiAERkueWaSa6RRPmJDXS2P4SGsMr"
"'3","'??山东美美哒??????","'97277883037","'853776750","'女","'3","'0","'1","'2020-03-21 09:48:34","'下载这么多的东西，在手机里看的过来吗？","'6806472240063299597","'MS4wLjABAAAA2LsSafW9tD6moeLv0t4TKtzl6znzMrZYwZDTG1C0dhs"
"'4","'cc91","'1468538967558510","'dyeyb2pvnl31","'男","'0","'0","'20","'2020-03-22 03:11:38","'[666]","'6806926577247780864","'MS4wLjABAAAA07GTKWaXAWaYsQoYpnA5Yh7FxCl_TVHMz1t3QfDGU7awTXKE3BIrMGufNh6O2GV3"
"'5","'薰衣草","'3786353704173851","'dy4ps5qxi53b","'-","'0","'0","'2020","'2020-03-22 02:55:32","'[玫瑰]","'6806922426144948228","'MS4wLjABAAAA3y1rkyInwPQ2_iJOZOmCIX-CwvQquX6FuoCx1zUYdTDhsy1ZXpuvIElr2_ItWDwN"
"'6","'京V阳光","'93091305575","'1148976666","'女","'0","'0","'2020","'2020-03-22 02:52:08","'[比心]","'6806921542762151939","'MS4wLjABAAAAOzwog-Q7SPeUxjlLnvydfrHNoiWvJMRU2_9-PohpAbs"
"'7","'鹰","'99455719823","'1541289412","'-","'0","'0","'2020","'2020-03-22 02:17:48","'学习","'6806912707188080648","'MS4wLjABAAAAJB5hf2ro4k_S929IrVOW2Lx9O3aZ6Njgk6vWIGlXSEg"
"'8","'龍哥","'4278933856981420","'dyzu5ke9sg8c","'男","'0","'0","'45","'2020-03-22 02:10:06","'[赞]","'6806910712515461132","'MS4wLjABAAAA4iP3cYBP6IvVYuRPfCJrFeip0o6wmqRcHKzhal_PViUwJ-4tPxt5BuwFT1tfbjxV"
"'9","'韩梅梅？！","'96975789186","'833177163","'-","'0","'0","'2020","'2020-03-22 12:10:05","'[鼓掌]","'6806879792286138368","'MS4wLjABAAAAJ4BhCuEvA5H7J2B3MbvoL6W4KcGNd0Ags4qU9rIHZNk"
"'10","'胭脂海棠","'69644487315","'1592444638","'女","'0","'0","'25","'2020-03-22 11:45:31","'[呲牙][呲牙]","'6806873467192311815","'MS4wLjABAAAAv4xEqvbuEp2OrzbsfwX8Dv-wRQaqNautpE9JysLoYdk"
"'11","'笑看世间事，乐做无心人","'2176638348960539","'dydoeel4x653","'男","'0","'0","'2020","'2020-03-22 11:28:45","'[玫瑰]","'6806869143447896072","'MS4wLjABAAAAP3OBql8_gwLmJAiwwiQie9A8PrIufiopLc3gSVuUc2onWSW4-Iyf2jqAjaLGIHhB"
"'12","'哈哈哈123","'588939088378047","'20200129can","'女","'1","'0","'26","'2020-03-22 10:38:02","'[捂脸]","'6806856071538376704","'MS4wLjABAAAA40eTGlQ64c4Th81ToWisi9paEtAtrFEHZPlJGT9C7-Y"
"'13","'AHLULU","'57138507417","'267368618","'女","'0","'0","'2020","'2020-03-22 10:25:29","'好","'6806852834081308683","'MS4wLjABAAAAA-IIxmk3x0qHMw20feu3v3lDH9SLexU-dhwqFs36wcc"
"'14","'暖气片儿","'100356068617","'dyxult7kwcrm","'-","'0","'0","'2020","'2020-03-22 10:25:19","'[鼓掌]","'6806852796189851655","'MS4wLjABAAAAljjXqF5Ofe4cJFanSKHtFyJ0Me7I9U9hc1oDd0-b_20"
"'15","'用户4030388671605","'102807420358","'tjs147369","'-","'0","'0","'2020","'2020-03-22 10:19:48","'学霸都没时间玩手机[微笑]","'6806851377256464397","'MS4wLjABAAAAo5ivM0P1wyXoZZarBJ4cZigB_QrewTS8cmSNbir1Vc4"
"'16","'JIAO","'70386093013","'81344625","'女","'0","'0","'20","'2020-03-22 10:02:46","'[赞]","'6806846980984406031","'MS4wLjABAAAAzyw7tA_FYWkDIy6ZD__-iuruTmBPRBduIpJ7uA2hIzc"
"'17","'TobeMe","'1816043896972988","'TobeMe1988","'女","'0","'0","'32","'2020-03-22 09:52:15","'[赞]","'6806844269140295684","'MS4wLjABAAAAPCbqkkoWGD-EBQmfFlMOAPNxWxPgdUEkljPuV9ex8ZUi_nidNs5SwY0qAH7p7DVZ"
"'18","'甜蜜蜜","'3680813853187576","'dymr1n456mt5","'女","'0","'0","'2020","'2020-03-22 09:28:33","'互粉","'6806838171691778061","'MS4wLjABAAAAxSpKYfcEku0nnFvXIa4pInRSohAhHU7R6ZTPiYRRQ69nf1V-HuC9tpvhca6kw1AC"
"'19","'美美滴我","'91742032434","'338041384","'-","'1","'0","'2020","'2020-03-22 09:18:16","'首先得有内存[赞][赞][捂脸][捂脸][捂脸]","'6806835510204743691","'MS4wLjABAAAAVWkmjVokL42CROwDSqQE-muUpK-7GIszcJ6VusGu6lE"
"'20","'还好还好哈","'1156298124303148","'dya7cs7q7w9b","'男","'0","'0","'20","'2020-03-22 08:41:18","'那是上了大学才安置的 跟上大学没什么关系","'6806825983057264640","'MS4wLjABAAAABGYXpnvfBQrekMrZI5i828tdgS9n5qtj331tlhvF6vQZsWbwE5m7cMzJ1bF0ccO0"
"'21","'馁","'2845138206067223","'dywl3ydcdkm9","'男","'0","'0","'2020","'2020-03-22 08:32:52","'[捂脸]","'6806823811879976972","'MS4wLjABAAAAtGMN9-ZPW2IOs8xHYTSwKV_5jRDtRRHeIRrESf5-A1WMd3LLl6uOEyGwvV2c_j_h"
"'22","'开开心心","'111605193100","'3.14159269525","'女","'0","'0","'13","'2020-03-22 08:15:33","'内存够吗？","'6806819355977039879","'MS4wLjABAAAAJ4o30QBdkxdZ4j4ztE2GjRq60G5BbqpC9gz2-K7d7vA"
"'23","'锦绣","'1943529330327192","'dym92qef8y9k","'女","'1","'0","'14","'2020-03-22 08:01:36","'没有钉钉？","'6806815749996019727","'MS4wLjABAAAAImgYYKQIQPx2cxO6-Sxt_4ANB-y7hhcxnGes3gSK19MDsA0QA0A0EqC2ga4GuSTw"
"'24","'用户146438978","'2629624186798528","'dy4vw1g696nh","'-","'0","'0","'2020","'2020-03-22 01:35:39","'[666]","'6806716283191869455","'MS4wLjABAAAAML0u0oRllwZHzK4R_rJTkbhzYpKY3PTXonSGV9i95b6_uSS8eqyzWU5jgXwf75ql"
"'25","'惜缘","'108023528979","'1781231104","'女","'0","'0","'13","'2020-03-22 01:20:33","'[666]","'6806712385538326539","'MS4wLjABAAAAEQA4QaKjTg9nlrRVHdmveDG8LTalKC7nN8IBobTU2Ic"
"'26","'手机用户62936420533","'62936420533","'203648995","'-","'0","'0","'2020","'2020-03-21 10:03:27","'[玫瑰]","'6806661622065741837","'MS4wLjABAAAAywesoKk2C7ITZB8YMoeYuCE6kciPI10Op0Zh6_hN0zc"
"'27","'多多","'104488500767","'1482355352","'-","'0","'0","'2020","'2020-03-21 09:54:17","'[爱心][爱心][爱心]","'6806659253144158212","'MS4wLjABAAAAAfyEvBZrr7snrEZqqxljCnTnTMnccs_GZxrz9aRI82g"
"'28","'用户269879906","'1261876072430235","'dyxulyrdf48i","'-","'0","'0","'2020","'2020-03-21 06:45:56","'[赞][赞]","'6806610723171598344","'MS4wLjABAAAArk3uXoI6aZE2uycHARylztcYXVLz0Hooi2Dcd6t3ib7jXdthZ0b2eLS2tfeiIcIr"
"'29","'用户269879906","'1261876072430235","'dyxulyrdf48i","'-","'0","'0","'2020","'2020-03-21 06:45:50","'好的[比心]","'6806610694545571854","'MS4wLjABAAAArk3uXoI6aZE2uycHARylztcYXVLz0Hooi2Dcd6t3ib7jXdthZ0b2eLS2tfeiIcIr"
"'30","'Blue~江菡萘","'75883981660","'Dgch2018","'女","'0","'0","'15","'2020-03-21 03:24:27","'呢","'6806558792986476544","'MS4wLjABAAAAw9aJD4WIaW9E598O_gX_QC0LNtoWCDy0deMivjwD628"
"'31","'奶茶??","'3601651350123543","'dyxbfjm58ygc","'女","'0","'0","'11","'2020-03-21 03:16:25","'[玫瑰]第二张图中最后一个软件的名字叫什么？","'6806556728621662216","'MS4wLjABAAAADv-d78o8NdguF9RF3kEWaYhzsdr3cGtMvxODKKZIbvfgxWm3FAJoEkGOp5ap0GUl"
"'32","'陌璃","'93391538169","'365874381","'女","'0","'0","'15","'2020-03-21 03:04:36","'这要多少内存....","'6806553683515047944","'MS4wLjABAAAAfAQMbEnZtYMwC-aBzkyJQKRYHUIS_qizm5trxPJZi4M"
