"'序号","'评论人","'UID","'抖音号","'性别↓","'获赞数↓","'子评数↓","'年龄↓","'评论时间↓","'评论详情","'cid","'sec_uid"
"'1","'封莎莎","'109636718368","'dy7lbblg0jva","'女","'5","'0","'11","'2020-03-20 02:53:39","'没有用","'6806179770695499788","'MS4wLjABAAAAXInN2q74bMunDPfA8-_rjoVwBCPpNjl_1FBnrkFzRRA"
"'2","'用户3705711541062","'102750478949","'dyqwvx4finmu","'-","'0","'0","'2020","'2020-03-20 02:52:14","'[微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][爱心][爱心][爱心][爱心][爱心]","'6806179409868619789","'MS4wLjABAAAAXBPSDKc7Nbsh7W_ymqIW2LmZ1VbnL6ZuYxWzshZSGYo"
"'3","'@香蕉哥@","'57553654784","'1686182693","'-","'1","'4","'2020","'2020-03-20 02:51:21","'哦，打卡第一天","'6806179170298167300","'MS4wLjABAAAAEPCizGftBS8ajieH8f_Yy05AswnazR2nbhcqZU2n_c4"
"'4","'开心曰子","'1838002328841923","'dys4u7fn5o9a","'男","'0","'0","'14","'2020-03-20 01:05:39","'重点看哪里","'6806151939169386500","'MS4wLjABAAAA8rg1wiuHi-WVmlQ6gZEEgh9vmCxn9iyWEN_hfnlMMfDWnJZCBYO58-2XU7eY5dQK"
"'5","'开心曰子","'1838002328841923","'dys4u7fn5o9a","'男","'0","'0","'14","'2020-03-20 01:04:57","'散光能吗？","'6806151758105788427","'MS4wLjABAAAA8rg1wiuHi-WVmlQ6gZEEgh9vmCxn9iyWEN_hfnlMMfDWnJZCBYO58-2XU7eY5dQK"
"'6","'黑胡椒","'399831771921000","'dy3zvpiot5kw","'-","'0","'0","'20","'2020-03-20 12:36:42","'不能恢复","'6806144487769931789","'MS4wLjABAAAAvjRpPhY7d7JCDfE6rwV3U5i19QOLN7bwijp8LwIJt0w"
"'7","'??蜜糖私语??","'4406461456983095","'dys09z5npgwz","'女","'2","'0","'11","'2020-03-20 11:40:08","'我听过最搞笑的事情就是看手机可以恢复视力[捂脸][捂脸][捂脸]","'6806129908876771342","'MS4wLjABAAAADxOdCI9wrd3MBTwwt0rFTw0H6WSxshFaer6Vrmn0watxFDO8roWgSBw-vZ1wo7W8"
"'8","'甜蜜??的梦","'95583412425","'1154116497","'女","'1","'0","'2020","'2020-03-20 11:07:36","'散光呢？","'6806121520109420559","'MS4wLjABAAAAs7jxZApSfKbaRbJauSXCvwpCtY7jOCqRfaMS3gTmq6w"
"'9","'冰清玉洁。！","'108701903072","'dyhvspmvot67","'女","'1","'0","'20","'2020-03-20 10:40:25","'你告诉我。看手机能矫正视力。我看手机也是近视的呀！","'6806114515579813888","'MS4wLjABAAAAME0eKp-vmlgaPFLBPfeAXMjN5Ie6D8z8Lso56EByaFc"
"'10","'用户114948795","'99509503358","'1072205012","'女","'0","'0","'2020","'2020-03-20 10:07:28","'强迫症表很舒服。?","'6806106021426233359","'MS4wLjABAAAA3ReSaC-0MzX_JnlsZDPVC9otLIFijnWV2-b829FV_v4"
