'序号,'评论人,'UID,'抖音号,'性别↓,'获赞数↓,'子评数↓,'年龄↓,'评论时间↓,'评论详情,'cid,'sec_uid
'1,'wxghfj,'2809968979353380,'dyrznyxu0oxa,'女,'0,'0,'23,'2020-03-21 10:09:29,'这歌红了[捂脸]，迷人最危险[捂脸],'6806663177263644680,'MS4wLjABAAAAx6WfojTPOft7AUCHtuB4AFr5aUhe6pPHC8H9RB95Y6wzYVlaHo9VlBZb33qN-RoJ
'2,'HG 起初,'97871501808,'1160862806,'男,'0,'0,'2020,'2020-03-21 10:09:26,'@い萌城姑凉づ 来听听这个,'6806663161199132687,'MS4wLjABAAAAnPSxyjromR2iXxZj_L6d58CGjP4mQKjhdhqzY8cC9CU
'3,'Liquor.,'94491064417,'573162198,'-,'0,'0,'2020,'2020-03-21 10:09:22,'@啊哈? 好听啊,'6806663146086973455,'MS4wLjABAAAAe1f60eWCAO1quGuGKU4ZrYBlckR3gDUGw2vgMhMGSZA
'4,'彭于晏之徐闻分晏,'104689001669,'dy7ntel8s9w2,'女,'0,'0,'25,'2020-03-21 10:09:21,'……,'6806663142807355405,'MS4wLjABAAAAcmESbesAEGKz7O6ngl9RrCkh8gDvuCPT6KlYMpdNo_M
'5,'猫九.,'111453383691,'2106742405,'女,'1,'0,'17,'2020-03-21 10:09:19,'好听??，棒，不过下次想听少年,'6806663136175800327,'MS4wLjABAAAAVGylSvG8A6IS1hKzpcyFFCfzs-cRi2VJ6SdefcN7PC0
'6,'喂，,'4111785689614238,'dy3yfz0upygm,'男,'0,'0,'2020,'2020-03-21 10:09:13,'他真的都看不见吗？,'6806663103053709316,'MS4wLjABAAAAbOTY4YSz7daI2XFgXRFYT0b2v5jBmpg6xj70QPVoxXf0RRiwvFxc3mmfDxh25yyt
'7,'爸爸,'62786433186,'96173423,'-,'0,'0,'2020,'2020-03-21 10:08:52,'好听 直接就换歌了[捂脸],'6806663016475115520,'MS4wLjABAAAAZ_Xf0XMrfiNjt5Yw8xnCCcxEHJe7dROk6OzDtYEcA4Y
'8,'M。,'1943532188469663,'1231234abc_,'男,'0,'0,'2020,'2020-03-21 10:07:12,'@咦 把声音关起来看看他们在干嘛,'6806662585870827520,'MS4wLjABAAAAB61f0E4iz_OgNnVKP6_b2OQIR0mjYNdQaESd1aSPGIlU08snfHn3GUXAl0wF7LRM
'9,'???南樱?,'3029896730509950,'dyqwgkcslhpw,'-,'1,'0,'2020,'2020-03-21 10:07:07,'还……热乎吗[快哭了][快哭了][快哭了][委屈],'6806662564626432015,'MS4wLjABAAAAyq5l8OASvcb1VwqMt629xIj8IZy85LXdhtuXmye95e3odJrysBMuWhOPuxhXRY2o
'10,'一杯清茶丶,'70535715438,'82150109,'男,'0,'0,'2020,'2020-03-21 10:06:56,'超级喜欢你，兄弟。,'6806662512537534475,'MS4wLjABAAAAbrwQu33oVlBJa3tYzCMHgTZ6bM4yX3vGVackeMOaeQA
'11,'东辞?,'83773994578,'1562911921zx,'女,'0,'0,'13,'2020-03-21 10:06:51,'啥时候能来个惊雷？,'6806662497941520391,'MS4wLjABAAAAR4bfNMCuNOs9ENkIe_LQ71PwGNbageN-vrWY7CpaqSQ
'12,'不言,'3425677395108931,'dyl5axl7hq11,'男,'0,'0,'19,'2020-03-21 10:06:47,'一诺,'6806662473224830980,'MS4wLjABAAAAFYR1yjtX3HCroJhWLA0EXQjS3iRsqTgjZCaBiW-hMFx_3d39xzSg3hvOwTOetW-o
'13,'二哈,'2607666755024731,'2196081098,'男,'0,'0,'2020,'2020-03-21 10:06:47,'牛逼,'6806662476391120911,'MS4wLjABAAAA7DpLdGFU8UZQ-SZXJnNMZDykL3pr6_oFGcM0YmopcCocfHvCUCcrkhr2lrIDNAwH
'14,'Agonie.,'62472892691,'354036253,'女,'0,'0,'16,'2020-03-21 10:06:44,'@他与温柔皆失 @阿孜上课不睡觉！ 好听[泣不成声],'6806662466161328128,'MS4wLjABAAAAfL75-D6-re0z0qoXbzXGm1TaifmmEzRo1fOI0hb5jwU
'15,'唯科喜比,'101728318626,'1343660340,'-,'0,'0,'2020,'2020-03-21 10:06:44,'明天就有很多人用了,'6806662471089274893,'MS4wLjABAAAAVvf6z5WsYbVBiEdxwlopHT2h6BSZczElDKY_yJj1IlE
'16,'星辰??不入眼?,'61185583234365,'dy93o3u2ewqz,'女,'0,'0,'2020,'2020-03-21 10:06:38,'好好听啊！！,'6806662445130825742,'MS4wLjABAAAAexBBKWcdInDpTOllEWBn2RN_5dm7h0cs43UGpJ6sIaQ
'17,'?软?仙?.?,'99483805782,'1014239679,'女,'0,'0,'18,'2020-03-21 10:06:36,'@陈抽抽 好听，哦吼吼,'6806662428907732992,'MS4wLjABAAAA0-T7kiUpXEzx9tzhZvf6VCpc_jEo9HvJAVnSnljJRdQ
'18,'樱子姐姐,'64514721422,'79812907,'女,'1,'0,'2020,'2020-03-21 10:06:35,'好听好听,'6806662431449038856,'MS4wLjABAAAAa9vECmRhVYMrm_F5Mg85FefR8-PJBmRtkgh67xxL904
'19,'贪吃的猫(*^ω^*),'101178036158,'1116595134,'-,'0,'0,'2020,'2020-03-21 10:06:32,'好听好听,'6806662416165421070,'MS4wLjABAAAAAxXEAg_9LrNco8pwR28QE4v31d97GCJhK9gSB1wW_oM
'20,'星河,'101894440075,'LX1828524937,'女,'0,'0,'18,'2020-03-21 10:06:24,'衔接的无缝，太棒了,'6806662380764889103,'MS4wLjABAAAAE7B1Ym94GUEGrgP36KAQ20beTwe9dYm1FCecSXjNMcQ
'21,'沉香♀,'2875935606186887,'dyy6bmgfp522,'-,'0,'0,'2020,'2020-03-21 10:06:22,'这个蓝毛小胖子儿有意思,'6806662367448432643,'MS4wLjABAAAAQOnM3FFvU3fOavKdhEkEdQTFoFF1re3uFTDnLlZk1KOZKbDAR5p0Lj1JLvPrxl6R
'22,'劝你别善良,'1385018561412843,'xxe58882,'女,'0,'0,'30,'2020-03-21 10:06:15,'[泣不成声][泣不成声],'6806662340114317312,'MS4wLjABAAAA7kXqCzsz4ZVjRZzvHMOs85Y2hUuLfWzevXf9HJvZz6gX9UvfsJcN5pckiwkbj-FG
'23,'初见。,'60990422330,'1003805191,'-,'0,'0,'2020,'2020-03-21 10:06:14,'你们的歌好治愈,'6806662340038803470,'MS4wLjABAAAAUclnHiHW7WAoPOvQ_VFaDH2sW_aj_ctaX62lyD58_ss
'24,'解??脱,'98965735499,'969949810,'男,'0,'0,'24,'2020-03-21 10:06:10,'咋怎么好听呢，改的比原唱的还好听,'6806662323114704909,'MS4wLjABAAAA2GIXZeDvYHTgw7NZm5afm7NM1LTNxAmR4328P2uJTt8
'25,'雨幕心逝,'93372892906,'566726795,'男,'0,'0,'2020,'2020-03-21 10:06:10,'@草上大乙 好听[色][色][色],'6806662318370553860,'MS4wLjABAAAATykHARvCk6ayK9PlsA1QNPYWFReTB9Jq6_3ft7Pj1_4
'26,'王大宝子。,'92779730872,'Adlszywhn969,'男,'0,'0,'27,'2020-03-21 10:06:03,'唱一首，有种爱叫做放手。好吗？,'6806662286363738124,'MS4wLjABAAAAaLkcfYEOyfsYaLGnYCCBiD_emJVXKGWY2VYHTZ_QpVc
'27,'李小豆,'4182136188838398,'lqy0021,'女,'0,'0,'19,'2020-03-21 10:05:57,'厉害了我的哥[机智][机智][机智],'6806662263735681024,'MS4wLjABAAAAgz-gyB8UcL_0EZPVKc7ZINzgj5IqbnKc_D8mtQKV4jnOuAeVEpQpemSre3OI5s1S
'28,'月坠团团:.,'1873165084790156,'dyhpqhzmq01n,'女,'0,'0,'13,'2020-03-21 10:05:52,'@温柔妮妮? 好听！,'6806662235390902284,'MS4wLjABAAAAzKsxvV5xn6Rz_93bBy6CiM1jhwtj4QyZlnc6AEiA_6EUJFRi0pVCmYIqOFdmVgg_
'29,'我姓边，旁边的边。,'65965625837,'57777192,'男,'0,'0,'30,'2020-03-21 10:05:51,'秋胖子同款浴帽,'6806662237076455428,'MS4wLjABAAAAIWhu85imh4FQVQgraf-jIS4udtZyXi29sIr-nkZcDjc
'30,'广东林俊杰,'62168920624,'26495364,'男,'0,'0,'16,'2020-03-21 10:05:50,'@广东洪世贤,'6806662235529101319,'MS4wLjABAAAA4tEPWNRqx9hYzxTV8lUjxn6TrGOcgJg3K_J6VM4Ie4k
'31,'→_→彬,'101576253491,'1146467297,'男,'0,'0,'2020,'2020-03-21 10:05:49,'那小哥把头染的[捂脸],'6806662231104225288,'MS4wLjABAAAAvpcWpmHrZgtC2B8HRwQ8rZDSAF3A8ycsZwyAArbpH0Y
'32,'心悦君兮,'101602508940,'1152980260,'女,'0,'0,'17,'2020-03-21 10:05:49,'上个视频就是买辣椒也用卷的[捂脸],'6806662233674989576,'MS4wLjABAAAAxrcEthfRIzFjFXd1Ol12j3XqZrIGyBwYOmrzrmGL6R8
