'序号,'评论人,'UID,'抖音号,'性别↓,'获赞数↓,'子评数↓,'年龄↓,'评论时间↓,'评论详情,'cid,'sec_uid
'1,'幸福就是有你在??,'74304779998,'623411709,'女,'12,'7,'25,'2020-03-21 09:20:57,'现在我一翻抖音；就是装修房子；我家过两三个月交房；好期待[呲牙],'6806650670407122951,'MS4wLjABAAAAHikatHrBwr7XNSB-dGu_rF7o3eG0MGKslE04_QPI3JM
'2,'。,'93977498685,'383229451,'女,'8,'6,'1,'2020-03-21 09:21:07,'一个柠檬一块钱，一个切开一天泡两片，一周约一个，一个月约四个，一年约五十个，289块的柠檬树，可以让你吃六年[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸],'6806650714182713352,'MS4wLjABAAAA10cU5MKeVtWx7C6uRUHHp2jAh1whlT3BNerupj8DcCM
'3,'海吃不胖,'108866365854,'1832478239,'-,'2,'1,'2020,'2020-03-21 09:26:49,'好喜欢两个人一起拆快递的感觉,'6806652178372411407,'MS4wLjABAAAAm2nwfihdvMwwIzYGyHBZW-9tEf7UmZLTth8jLlcCyvY
'4,'山风又美了。,'60110835268,'1028810399.,'女,'0,'0,'24,'2020-03-21 09:58:39,'@要雪梨吗 这样弄房子吧,'6806660376819335179,'MS4wLjABAAAAOSfEiRgcHXKsPunoVv9gEpZZcv75yRqdxEK0i0xXdUM
'5,'晴晴呀??,'72382242572,'848661715,'女,'0,'0,'26,'2020-03-21 09:58:22,'@一口气把你全部吃掉 我喜欢的,'6806660306778406923,'MS4wLjABAAAAXK7-nqotzfSO6fTeZAQ_m6w6NERY0ZldaQp9sOGNvfY
'6,'孙大本事,'94190323779,'388402948,'男,'0,'0,'30,'2020-03-21 09:58:11,'柠檬树没有阳光活不了大家谨慎购买，你买花别问店家好不好养，店家嘴里什么花都好养,'6806660266844291086,'MS4wLjABAAAAPc2Gt44x4C9nhqfwu-03J29XSGtda5KzQVdTPfaRqdk
'7,'泡泡,'63154533581,'36026499,'女,'0,'0,'22,'2020-03-21 09:57:28,'@及时行乐,'6806660077601439759,'MS4wLjABAAAArny827db2cfYzIpE5usNsEJe3JG8oyZ_bR4Raw6-EtE
'8,'不喝奶茶,'75010730591,'11915602hh,'-,'0,'0,'2020,'2020-03-21 09:57:10,'快关注他 我喜欢他的家@就喝奶茶,'6806659997134143500,'MS4wLjABAAAADdzjV4XsE-KcIIB43pAwkR6U9PTeVaep79nHVFjW_Vg
'9,'他们说林夕也是梦,'95706803948,'608114255,'男,'0,'0,'28,'2020-03-21 09:57:06,'柠檬书上柠檬果，柠檬树下我一个,'6806659987029442574,'MS4wLjABAAAADOy7Kl2pUfdCZyxEleav_wAS-JEBJvrg3m3oF7w4iOg
'10,'大砭沟金宇彬,'65210749609,'127546581,'男,'0,'0,'27,'2020-03-21 09:56:13,'刷的乳胶漆还是壁布,'6806659752006385676,'MS4wLjABAAAAmgd3PVvU8K19WmtfTNLER7vKa89UM9LE7u8FBYh_GKI
